pays;continent;capital
Russie;asie;Moscou
Allemagne;europe;Berlin
Pologne;europe;Varsovie
Italie;europe;Rome
Pays-Bas;europe;Amsterdam
Turquie;asie;Ankara
Ukraine;europe;Kiev
Royaume-Unis;europe;Londres
Roumanie;europe;Bucarest
France;europe;Paris
Espagne;europe;Madrid
Belarus;europe;Minsk
Republique Tcheque;europe;Prague
Belgique;europe;Bruxelles
Portugal;europe;Lisbonne
Grece;europe;Athenes
Hongrie;europe;Budapest
Suede;europe;Stockholm
Autriche;europe;Vienne
Suisse;europe;Berne
Croatie;europe;Zagreb
Slovaquie;europe;Bratislava
Bulgarie;europe;Sofia
Republique de Serbie;europe;Belgrade
Danemark;europe;Copenhague
Finlande;europe;Helsinki
Irlande;europe;Dublin
Bosnie-Herzegovine;europe;Sarajevo
Norvege;europe;Oslo
Albanie;europe;Tirana
Estonie;europe;Tallinn
Slovenie;europe;Ljubljana
Ancienne Republique Yougoslave de Macedoine;europe;Skopje
Moldavie;europe;Chisinau
Lettonie;europe;Riga
Kosovo;europe;Pristina
Chypre;europe;Nicosie
Lituanie;europe;Vilnius
Republique du Montenegro;europe;Podgorica
Luxembourg;europe;Luxembourg
Islande;europe;Reykjavik
Andorre;europe;Andorre-la-Vieille
Liechtenstein;europe;Vaduz
Monaco;europe;Monaco
Saint-Marin;europe;Saint-Marin
Etat de la cite du Vatican;europe;Cite du Vatican
Malte;europe;La Valette
Honduras;amerique du nord;Tegucigalpa
Antigua-et-Barbuda;amerique du nord;Saint John's
Republique du Congo;Afrique;Brazzaville
